miRNA	A10_SM385B	A11_SM385B	A12_SM385B	A13_SM385B	A14_SM385B	A1_SM385B	A2_SM385B	A3_SM385B	A4_SM385B	A5_SM385B	A6_SM385B	A7_SM385B	A8_SM385B	A9_SM385B	B10_SM385B	B11_SM385B	B12_SM385B	B13_SM385B	B1_SM385B	B2_SM385B	B3_SM385B	B4_SM385B	B5_SM385B	B6_SM385B	B7_SM385B	B8_SM385B	B9_SM385B	C1_SM385B	C2_SM385B	C3_SM385B	C4_SM385B	C5_SM385B	C6_SM385B
hsa-miR-1-3p	6785	5723	3291	2906	3306	1343	5241	2168	3457	1600	6941	5186	7067	11731	3303	2898	2896	1885	3178	3283	1593	3619	3628	11061	2740	14018	27078	1580	3854	1687	4141	1821	2955
hsa-miR-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-100-3p	29	26	12	14	31	10	29	22	15	8	24	10	23	116	19	7	5	0	7	1	16	19	4	64	7	100	92	1	18	3	7	11	3
hsa-miR-100-5p	195816	194510	147056	92724	94421	22816	118973	56295	64433	38718	147711	89927	75409	477607	99041	65721	134233	33095	65371	109962	95178	86077	116788	684598	51430	505248	473893	27910	58187	57608	51905	23397	33944
hsa-miR-101-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
hsa-miR-101-3p	424660	286111	299996	216181	102712	167037	382203	140995	115909	87691	392717	240673	194401	688464	241800	133790	214719	91377	153690	136041	197969	139593	173444	806576	164907	933054	1647723	71978	159793	63665	162425	92555	104270
hsa-miR-101-5p	206	94	122	81	65	167	183	61	77	24	222	110	62	397	78	30	29	8	54	35	103	77	46	405	73	439	844	46	23	10	55	46	77
hsa-miR-10226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-3p	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-10393-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-5p	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	2	0	0	2
hsa-miR-10395-3p	56	18	13	40	21	18	35	26	36	14	76	11	48	185	18	47	39	4	33	38	67	27	8	170	36	212	50	27	3	3	43	0	11
hsa-miR-10395-5p	1	0	13	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-10396a-3p	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-5p	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
hsa-miR-10396b-3p	0	0	3	0	0	0	0	0	3	0	0	2	0	37	0	0	0	0	0	0	2	0	0	1	0	0	0	14	0	6	0	0	1
hsa-miR-10396b-5p	11	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
hsa-miR-10397-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10397-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10398-3p	0	0	2	0	0	0	0	0	2	0	0	3	0	41	0	0	0	0	0	0	0	0	0	4	4	1	0	0	0	0	0	0	0
hsa-miR-10398-5p	25	1	6	9	3	0	2	11	2	1	3	1	0	16	2	0	9	0	2	1	1	1	23	1	7	52	40	0	0	0	0	0	0
hsa-miR-10399-3p	8	6	0	4	0	2	5	1	6	0	16	10	0	2	4	13	20	0	6	21	11	7	11	147	0	3	58	2	3	0	17	0	2
hsa-miR-10399-5p	5	18	0	10	0	0	7	1	7	3	11	4	2	54	5	5	32	1	9	0	11	18	4	146	2	25	41	0	4	1	1	0	4
hsa-miR-103a-1-5p	0	0	4	2	6	0	2	0	2	0	26	7	0	4	2	0	7	0	3	0	5	4	2	49	2	14	1	2	0	0	0	2	7
hsa-miR-103a-2-5p	132	83	91	86	33	62	55	43	31	18	182	79	57	61	48	9	8	11	26	2	41	20	56	395	29	213	384	29	11	14	27	16	46
hsa-miR-103a-3p	567429	585877	490408	332091	123269	78248	546420	189036	132696	74781	539301	440266	321799	536748	236037	209439	300270	102825	343713	185502	161125	240759	182297	1195372	280130	1399499	972880	40368	101484	28261	148442	47844	93495
hsa-miR-103b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10400-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10400-5p	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	5	3	8	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-10401-3p	26	28	8	5	0	1	22	1	6	6	29	14	4	28	2	0	0	0	17	67	11	5	1	17	10	64	32	10	0	2	12	4	13
hsa-miR-10401-5p	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-3p	6	28	0	0	2	0	3	0	0	0	6	5	1	27	1	8	17	0	7	4	2	1	7	0	5	11	17	0	2	4	0	1	3
hsa-miR-105-5p	545	988	633	278	192	115	811	243	179	103	683	353	297	993	211	279	537	137	500	167	193	358	302	1282	298	1534	1536	71	140	107	271	41	507
hsa-miR-10522-5p	2	25	20	0	0	0	20	0	0	3	3	2	0	0	5	0	0	1	7	1	5	0	0	0	4	0	0	0	0	2	0	0	2
hsa-miR-10523-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10524-5p	31	0	0	0	0	0	4	1	3	0	5	0	0	15	1	0	0	0	0	1	0	1	0	0	3	0	0	5	0	0	0	0	0
hsa-miR-10525-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10526-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10527-5p	74	43	85	59	26	3	57	8	38	5	86	35	2	143	61	24	40	7	15	21	25	30	55	125	49	110	104	5	21	11	26	29	8
hsa-miR-106a-3p	134	74	60	65	31	10	111	56	36	13	120	88	9	338	58	11	44	0	23	26	78	37	37	155	48	240	530	28	4	14	32	13	40
hsa-miR-106a-5p	730	689	335	738	364	127	550	320	248	127	1004	763	343	1442	411	179	220	53	321	189	443	310	369	2167	360	1554	3468	150	128	67	307	99	208
hsa-miR-106b-3p	1646	1057	1332	533	559	336	820	428	483	174	1188	853	482	2272	490	552	1081	226	395	847	648	550	528	4175	346	2272	3429	265	247	435	350	269	263
hsa-miR-106b-5p	13157	8826	8870	6082	5225	4238	9895	4574	2468	1735	12967	9127	5114	26168	6886	4703	5032	1445	4304	1612	4517	5289	4574	30224	4899	33333	50022	1400	2244	1555	3394	1545	2482
hsa-miR-107	49585	56006	39207	25482	9400	8802	43909	17196	7508	5642	43560	36105	23232	46705	16436	13818	14446	5876	22416	9829	10276	18112	14200	109104	19696	96693	79552	3105	6208	2070	10561	3208	7049
hsa-miR-10a-3p	1	6	3	0	0	0	0	0	1	1	0	0	0	4	0	7	0	0	0	0	0	4	0	0	1	10	0	0	0	0	0	0	0
hsa-miR-10a-5p	133	163	78	107	1	98	117	59	32	35	126	52	357	477	76	848	117	38	49	44	35	142	75	233	18	360	235	8	13	7	48	26	50
hsa-miR-10b-3p	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10b-5p	119	82	64	25	27	41	35	41	39	20	85	29	14	59	44	53	21	14	46	116	41	32	62	272	30	90	137	10	6	5	13	3	26
hsa-miR-11181-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11181-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11399	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-11400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11401	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1178-3p	2	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	9	0	0	2	23	2	0	0	0	0	0	0
hsa-miR-1178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	82	216	193	36	69	115	191	122	42	28	109	91	60	165	65	52	49	9	80	72	46	80	28	448	33	409	454	48	49	54	128	15	198
hsa-miR-1180-3p	7983	12771	5907	4842	3064	476	5075	2484	2225	964	5605	4616	4315	10730	2510	4041	7545	2096	5041	4909	2442	3812	2752	27141	3484	12592	10327	449	2392	346	1914	563	1280
hsa-miR-1180-5p	31	12	7	13	4	1	22	12	10	4	14	14	36	16	10	22	13	10	18	49	25	3	13	71	13	47	15	0	0	0	10	0	1
hsa-miR-1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-1-3p	33	20	33	17	11	1	61	14	25	9	60	47	18	96	44	70	55	16	44	4	23	28	19	115	35	259	83	9	11	0	21	4	15
hsa-miR-1185-2-3p	25	9	10	4	0	20	15	6	5	2	26	18	7	145	11	33	4	0	11	26	11	10	8	31	10	115	4	8	1	3	2	1	8
hsa-miR-1185-5p	798	613	607	335	123	165	821	282	171	98	772	503	285	1655	247	168	118	28	360	204	305	257	190	1073	281	1850	1881	132	27	29	244	126	204
hsa-miR-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-1197	396	258	429	173	71	58	196	110	82	40	334	201	143	145	154	203	137	51	114	88	112	91	129	490	84	680	1044	75	130	57	192	62	144
hsa-miR-1199-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12125	8	2	4	5	0	0	0	0	0	2	8	0	0	11	2	0	0	0	4	2	0	9	0	1	2	17	2	0	6	0	0	1	0
hsa-miR-12126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12129	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12133	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12135	11	69	4	6	1	0	1	2	2	7	2	9	11	0	7	3	21	0	13	11	6	2	2	0	2	39	17	0	1	0	0	0	7
hsa-miR-12136	16776	3072	18561	1426	1268	401	4851	4204	902	933	3157	1920	4586	14918	2294	2419	1864	564	896	1008	1531	1614	348	7999	2808	25030	4086	1568	333	1989	1452	167	1270
hsa-miR-122-3p	2	0	0	8	0	0	10	1	0	0	0	1	0	11	8	0	0	0	0	0	0	0	0	0	0	21	66	0	9	0	0	0	0
hsa-miR-122-5p	71	109	71	16	8	19	87	98	22	3	26	12	3	9	3	10	16	2	23	26	18	9	58	22	12	206	2362	77	66	30	70	6	19
hsa-miR-1224-3p	77	60	72	10	3	1	7	23	8	6	13	31	17	48	5	22	3	7	13	37	17	15	5	141	5	46	32	18	0	0	1	3	8
hsa-miR-1224-5p	441	199	315	73	73	45	71	56	89	17	113	89	74	96	40	104	60	24	60	139	48	60	70	396	37	211	100	34	57	40	33	17	90
hsa-miR-1225-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0	1	1	4	4	2	17	1	4	0	0	2	0	0	2	0	9	0	8	21	12	0	5	0	5	23	14	0	3	2	0	0	0
hsa-miR-1226-3p	40	118	37	24	6	3	31	4	23	15	31	34	18	46	9	0	17	9	46	163	18	12	11	22	27	142	53	0	1	1	1	5	1
hsa-miR-1226-5p	0	0	0	0	0	0	0	5	1	0	8	0	0	0	0	0	0	0	1	0	0	15	0	0	0	15	1	0	5	0	0	0	0
hsa-miR-1227-3p	0	0	0	0	0	0	7	0	5	0	0	5	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	2
hsa-miR-1227-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	337	170	237	45	36	10	118	27	51	41	222	59	96	183	27	13	87	13	115	282	42	107	71	274	25	262	89	7	5	9	13	12	42
hsa-miR-1228-5p	14	0	3	8	0	0	5	10	0	2	17	2	0	0	4	0	0	0	3	0	0	3	0	0	3	18	74	1	0	7	12	0	6
hsa-miR-1229-3p	182	117	111	38	9	7	97	51	50	14	120	99	43	80	26	45	70	11	66	303	31	80	96	232	50	218	128	13	31	5	44	11	24
hsa-miR-1229-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1231	116	19	56	11	5	1	27	15	8	6	26	17	7	59	10	0	51	9	12	120	8	7	6	124	10	74	23	2	6	0	14	7	8
hsa-miR-1233-3p	0	0	0	0	0	0	9	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0	5	0	0	0	0	0	0	1	0	0	0	0	44	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	17	0	0
hsa-miR-1234-3p	23	30	41	2	2	7	1	8	16	5	6	6	13	0	4	17	0	0	9	2	16	2	0	0	10	16	31	1	0	0	1	0	4
hsa-miR-1236-3p	0	0	0	0	0	0	0	11	1	0	0	0	0	2	0	0	0	4	0	0	6	2	2	52	1	2	0	0	0	0	0	0	0
hsa-miR-1236-5p	7	14	2	1	0	0	7	1	0	6	1	0	0	2	2	0	14	0	2	0	0	0	0	54	7	36	1	5	0	2	0	0	0
hsa-miR-1237-3p	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	7	2	0	1	0	0	1	10	12	0	0	0	0	0	0
hsa-miR-1237-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-3p	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
hsa-miR-1238-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	464140	435127	318207	197573	112598	308266	336251	128430	112374	48034	444825	251160	202575	602897	154770	83980	99296	25582	216679	153458	126306	151968	185694	1453058	161547	906491	1325711	54639	56570	25698	119307	39260	120387
hsa-miR-124-5p	2953	1941	2174	1299	697	978	2060	948	631	326	3023	1732	1097	2211	1244	929	901	361	1043	647	858	1015	1178	6601	1152	6308	8374	616	571	297	748	372	1288
hsa-miR-1243	9	17	14	33	14	5	40	25	17	3	24	26	0	80	10	23	17	1	11	12	10	33	48	61	13	33	36	2	12	12	17	0	5
hsa-miR-1244	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-1245a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	30	9	2	9	16	13	6	5	1	2	47	17	1	73	12	0	27	1	2	10	8	2	10	2	0	2	77	21	8	23	1	11	16
hsa-miR-1247-3p	3	4	26	3	2	0	0	0	3	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
hsa-miR-1247-5p	392	535	267	127	52	8	327	40	211	61	410	156	168	681	166	157	426	82	315	497	137	211	137	1043	249	756	385	31	46	13	34	5	109
hsa-miR-1248	1070	663	347	917	128	450	838	375	231	97	1471	819	185	1364	1465	433	231	78	78	93	228	77	181	1542	436	2322	745	431	2005	119	2436	568	316
hsa-miR-1249-3p	6332	4052	4027	1899	1379	172	2222	1227	1543	881	3750	2385	2673	7134	1164	1652	1312	422	2093	4366	2026	2046	2063	17150	999	6566	6701	647	195	220	1140	276	1263
hsa-miR-1249-5p	0	3	3	0	0	0	0	0	0	0	7	3	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-5p	730	281	562	94	97	57	299	75	95	49	265	248	91	302	134	181	291	87	93	229	51	207	169	844	92	1304	1060	9	15	218	132	30	59
